State,Year,Population,Latitude,Longitude,Code,income
Pennsylvania,2014,12787209,41.203323,-77.194527,PA,47469
Pennsylvania,2015,12802503,41.203323,-77.194527,PA,49293
Pennsylvania,2016,12784227,41.203323,-77.194527,PA,50574
Pennsylvania,2017,12805537,41.203323,-77.194527,PA,51888
Pennsylvania,2018,12807060,41.203323,-77.194527,PA,54468
Pennsylvania,2019,12801989,41.203323,-77.194527,PA,56125
Pennsylvania,2020,13002700,41.203323,-77.194527,PA,60320
Pennsylvania,2021,12964056,41.203323,-77.194527,PA,64042
Pennsylvania,2022,12972008,41.203323,-77.194527,PA,64506
Rhode Island,2014,1055173,41.742325,-71.742332,RI,46639
Rhode Island,2015,1056298,41.742325,-71.742332,RI,48058
Rhode Island,2016,1056426,41.742325,-71.742332,RI,48523
Rhode Island,2017,1059639,41.742325,-71.742332,RI,50423
Rhode Island,2018,1057315,41.742325,-71.742332,RI,52135
Rhode Island,2019,1059361,41.742325,-71.742332,RI,55105
Rhode Island,2020,1097379,41.742325,-71.742332,RI,59066
Rhode Island,2021,1095610,41.742325,-71.742332,RI,63663
Rhode Island,2022,1093734,41.742325,-71.742332,RI,63557
South Carolina,2014,4832482,33.836082,-81.163727,SC,37735
South Carolina,2015,4896146,33.836082,-81.163727,SC,39577
South Carolina,2016,4961119,33.836082,-81.163727,SC,40732
South Carolina,2017,5024369,33.836082,-81.163727,SC,42368
South Carolina,2018,5084127,33.836082,-81.163727,SC,43804
South Carolina,2019,5148714,33.836082,-81.163727,SC,46149
South Carolina,2020,5118425,33.836082,-81.163727,SC,48772
South Carolina,2021,5190705,33.836082,-81.163727,SC,52828
South Carolina,2022,5282634,33.836082,-81.163727,SC,53618
South Dakota,2014,853175,44.5,-100,SD,46727
South Dakota,2015,858469,44.5,-100,SD,48302
South Dakota,2016,865454,44.5,-100,SD,48279
South Dakota,2017,869666,44.5,-100,SD,49404
South Dakota,2018,882235,44.5,-100,SD,51575
South Dakota,2019,884659,44.5,-100,SD,54426
South Dakota,2020,886667,44.5,-100,SD,59465
South Dakota,2021,895376,44.5,-100,SD,65421
South Dakota,2022,909824,44.5,-100,SD,68176
Tennessee,2014,6549352,35.860119,-86.660156,TN,40230
Tennessee,2015,6600299,35.860119,-86.660156,TN,41942
Tennessee,2016,6651194,35.860119,-86.660156,TN,42943
Tennessee,2017,6715984,35.860119,-86.660156,TN,44411
Tennessee,2018,6770010,35.860119,-86.660156,TN,46452
Tennessee,2019,6829174,35.860119,-86.660156,TN,48889
Tennessee,2020,6910840,35.860119,-86.660156,TN,51928
Tennessee,2021,6975218,35.860119,-86.660156,TN,56970
Tennessee,2022,7051339,35.860119,-86.660156,TN,58292
Texas,2014,26956958,31,-100,TX,46739
Texas,2015,27469114,31,-100,TX,46760
Texas,2016,27862596,31,-100,TX,45862
Texas,2017,28304596,31,-100,TX,48518
Texas,2018,28701845,31,-100,TX,51341
Texas,2019,28995881,31,-100,TX,53247
Texas,2020,29145505,31,-100,TX,55118
Texas,2021,29527941,31,-100,TX,60548
Texas,2022,30029572,31,-100,TX,62586
Utah,2014,2942902,39.41922,-111.950684,UT,37638
Utah,2015,2995919,39.41922,-111.950684,UT,39899
Utah,2016,3051217,39.41922,-111.950684,UT,41312
Utah,2017,3101833,39.41922,-111.950684,UT,43044
Utah,2018,3161105,39.41922,-111.950684,UT,45473
Utah,2019,3205958,39.41922,-111.950684,UT,48156
Utah,2020,3271616,39.41922,-111.950684,UT,51751
Utah,2021,3337975,39.41922,-111.950684,UT,57042
Utah,2022,3380800,39.41922,-111.950684,UT,59457
Vermont,2014,626562,44,-72.699997,VT,46897
Vermont,2015,626042,44,-72.699997,VT,48120
Vermont,2016,624594,44,-72.699997,VT,48831
Vermont,2017,623657,44,-72.699997,VT,50011
Vermont,2018,626299,44,-72.699997,VT,51692
Vermont,2019,623989,44,-72.699997,VT,54257
Vermont,2020,643077,44,-72.699997,VT,57978
Vermont,2021,645570,44,-72.699997,VT,61214
Vermont,2022,647064,44,-72.699997,VT,63039
